Change Component Designator: Old Designator=C58 New Designator=C?
Change Component Designator: Old Designator=P1 New Designator=P?
Change Component Designator: Old Designator=R16 New Designator=R?
Change Component Designator: Old Designator=R16 New Designator=R?
Change Component Designator: Old Designator=R38 New Designator=R?
Change Component Designator: Old Designator=R38 New Designator=R?
Change Component Designator: Old Designator=R38 New Designator=R?
Change Component Designator: Old Designator=R38 New Designator=R?
Change Component Designator: Old Designator=R38 New Designator=R?
Change Component Designator: Old Designator=R38 New Designator=R?
Change Component Designator: Old Designator=R38 New Designator=R?
